Dungeon	Boss	Type	Slot	BaseIlvl	Name	Main Stat	Secondary Stat 1	Secondary Stat 1 Value	Secondary stat 2	Secondary Stat 2 Value	Active/Passive	SourceInst	Role
Theater of Pain	An Affront of Challengers	Plate	Legs	157	Galvanized Oxxein Legguards	Strength/Intellect	Haste	56	Mastery	45		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Axe	One-Hand	157	Dessia's Decimating Decapitator	Strength	Critical Strike	55	Mastery	45		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Cloth	Shoulders	157	Plague-Licked Amice	Intellect	Versatility	45	Mastery	30		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Mail	Head	157	Amphitheater Stalker's Hood	Agility/Intellect	Haste	58	Mastery	44		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Ring	Finger	157	Bloodoath Signet	NA	Haste	67	Critical Strike	57		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Trinket	Trinket	157	Vial of Vampiric Essence	Intellect	Use		Mastery	72	Use: Bind a spectral essence to an enemy for 20 sec, causing allied attacks to heal for 30% of damage dealt, up to 4519 total healing.	Dungeon	Heal
Theater of Pain	Gorechop	Plate	Chest	157	Abdominal Securing Chestguard	Strength/Intellect	Versatility	56	Critical Strike	45		Dungeon	Dps/Tank/Heal
Theater of Pain	Gorechop	Mail	Hands	157	Grips of Overwhelming Beatings	Agility/Intellect	Critical Strike	44	Haste	33		Dungeon	Dps/Tank/Heal
Theater of Pain	Gorechop	Cloth	Wrist	157	Contaminated Gauze Wristwraps	Intellect	Critical Strike	33	Versatility	23		Dungeon	Dps/Tank/Heal
Theater of Pain	Gorechop	Trinket	Trinket	157	Viscera of Coalesced Hatred	Strength	Equip				Equip: Your abilities have a very high chance to lash out with a Hateful Strike, dealing 344 Physical damage to an enemy and healing you for 241. These effects are increased by 100% while you are below 50% health. Requires Level 60	Dungeon	Dps
Theater of Pain	Gorechop	Ring	Finger	157	Fleshfused Circle	NA	Mastery	78	Critical Strike	46		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Plate	Wrist	157	Pit Fighter's Wristguards	Strength/Intellect	Versatility	33	Mastery	23		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Mace	One-Hand	157	Gorebound Predator's Gavel	Agility	Versatility	26	Haste	23		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Dagger	One-Hand	157	Fleshcrafter's Knife	Intellect	Haste	28	Versatility	22		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Leather	Legs	157	Fearless Challenger's Leggings	Agility/Intellect	Critical Strike	63	Mastery	39		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Polearm	Two-Hand	157	Xav's Pike of Authority	Agility	Versatility	63	Haste	39		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Mail	Chest	157	Triumphant Combatant's Chainmail	Agility/Intellect	Critical Strike	61	Haste	41		Dungeon	Dps/Tank/Heal
Theater of Pain	Xav the Unfallen	Axe	One-Hand	157	Gorestained Cleaver	Strength	Mastery	28	Critical Strike	22		Dungeon	Dps/Tank/Heal
Theater of Pain	Kul'tharok	Cloth	Chest	157	Soulsewn Vestments	Intellect	Mastery	63	Critical Strike	39		Dungeon	Dps/Tank/Heal
Theater of Pain	Kul'tharok	Ring	Finger	157	Ritual Bone Band	NA	Versatility	77	Mastery	48		Dungeon	Dps/Tank/Heal
Theater of Pain	Kul'tharok	Trinket	Trinket	157	Soulletting Ruby	Intellect	Use				Use: Draw out a piece of the target's soul, decreasing their movement speed by 30% until the soul reaches you. The soul instantly heals you for 1446, and grants you up to 685 Critical Strike for 16 sec. You gain more Critical Strike from lower health targets. (2 Min Cooldown)	Dungeon	Dps/Heal
Theater of Pain	Kul'tharok	Leather	Waist	157	Girdle of Shattered Dreams	Agility/Intellect	Critical Strike	45	Versatility	30		Dungeon	Dps/Tank/Heal
Theater of Pain	Kul'tharok	Mail	Feet	157	Boots of Shuddering Matter	Agility/Intellect	Critical Strike	44	Haste	31		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Plate	Shoulders	157	Unyielding Combatant's Pauldrons	Strength/Intellect	Haste	47	Mastery	30		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Ring	Finger	157	Ring of Perpetual Conflict	NA	Critical Strike	79	Mastery	49		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Off-Hand	Off-Hand	157	Deathwalker's Promise	Intellect	Haste	30	Versatility	20		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Cloth	Waist	157	Fallen Empress' Cord	Intellect	Versatility	42	Mastery	33		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Trinket	Trinket	157	Grim Codex	Agility/Strength	Use				Use: Conjure a Spectral Scythe, dealing 3125 Shadow damage to your target and 447 Shadow damage in a 15 yd cone to enemies behind your target. (1 Min, 30 Sec Cooldown)	Dungeon	Dps/Tank
Theater of Pain	Mordretha, the Endless Empress	Shield	Off-Hand	157	Barricade of the Endless Empire	Intellect	Haste	30	Critical Strike	20		Dungeon	Dps/Tank/Heal
Theater of Pain	Mordretha, the Endless Empress	Leather	Feet	157	Vanquished Usurper's Footpads	Agility/Intellect	Haste	41	Critical Strike	34		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Neck	Neck	157	Azure-Venom Choker	NA	Critical Strike	77	Versatility	48		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Staff	Two-Hand	157	Quarterstaff of Discordant Ethic	Agility	Critical Strike	61	Mastery	41		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Plate	Feet	157	Warboots of Ruthless Conviction	Strength/Intellect	Mastery	47	Critical Strike	30		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Mail	Chest	157	Forsworn Stalker's Hauberk	Agility/Intellect	Versatility	55	Critical Strike	45		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Leather	Hands	157	Winged Hunters' Gloves	Agility/Intellect	Haste	42	Critical Strike	33		Dungeon	Dps/Tank/Heal
Spires of Ascension	Kin-Tara	Cloth	Waist	157	Kin-Tara's Baleful Cord	Intellect	Haste	44	Versatility	33		Dungeon	Dps/Tank/Heal
Spires of Ascension	Ventunax	Trinket	Trinket	157	Overcharged Anima Battery	Agility	Use				Use: Gain 264 Haste and 84 Speed for 16 sec. (1 Min, 30 Sec Cooldown)	Dungeon	Dps/Tank
Spires of Ascension	Ventunax	Leather	Waist	157	Shadowhirl Waistwrap	Agility/Intellect	Versatility	44	Mastery	33		Dungeon	Dps/Tank/Heal
Spires of Ascension	Ventunax	Cloth	Feet	157	Dark Stride Footwraps	Intellect	Critical Strike	44	Haste	31		Dungeon	Dps/Tank/Heal
Spires of Ascension	Ventunax	Plate	Hands	157	Distorted Construct's Gauntlets	Strength/Intellect	Haste	41	Critical Strike	34		Dungeon	Dps/Tank/Heal
Spires of Ascension	Ventunax	Axe	One-Hand	157	Penitent Edge	Agility	Critical Strike	31	Mastery	18		Dungeon	Dps/Tank/Heal
Spires of Ascension	Ventunax	Mail	Waist	157	Dark Praetorian's Clasp	Agility/Intellect	Mastery	42	Versatility	33		Dungeon	Dps/Tank/Heal
Spires of Ascension	Oryphrion	Trinket	Trinket	157	Anima Field Emitter	Strength	Equip				Equip: Your attacks have a high chance to create an Anima Field at your location for 8 sec. Standing within the field grants you 193 Haste.	Dungeon	Dps
Spires of Ascension	Oryphrion	Leather	Head	157	Vicious Surge Faceguard	Agility/Intellect	Versatility	60	Haste	42		Dungeon	Dps/Tank/Heal
Spires of Ascension	Oryphrion	Plate	Wrist	157	Thunderous Echo Vambraces	Strength/Intellect	Mastery	31	Versatility	25		Dungeon	Dps/Tank/Heal
Spires of Ascension	Oryphrion	Mail	Hands	157	Absonant Construct's Handguards	Agility/Intellect	Versatility	44	Haste	33		Dungeon	Dps/Tank/Heal
Spires of Ascension	Oryphrion	Cloth	Legs	157	Purge Protocol Legwraps	Intellect	Mastery	61	Haste	41		Dungeon	Dps/Tank/Heal
Spires of Ascension	Oryphrion	Trinket	Trinket	157	Empyreal Ordnance	Intellect	Mastery	66	Use		Use: Fire 5 Empyreal Ordnance at up to 5 targets. Targets suffer [236 * 6 * (1 + Versatility)] Arcane damage over 10 sec for each ordnance that hits them. As the ordnance expires on the target they return, each granting 109 Intellect for 15 sec. (3 Min Cooldown) Requires Level 60	Dungeon	Dps/Heal
Spires of Ascension	Oryphrion	Gun	Ranged	157	The Philosopher	Agility	Critical Strike	55	Haste	45		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Polearm	Two-Hand	157	Devos' Cacophonous Poleaxe	Agility	Mastery	55	Versatility	45		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Cloak	Cloak	157	Drape of Twisted Loyalties	Agility/Strength/Intellect	Haste	36	Critical Strike	20		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Plate	Chest	157	Breastplate of Brutal Dissonance	Strength/Intellect	Mastery	56	Critical Strike	45		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Cloth	Chest	157	Sinister Requiem Vestments	Intellect	Haste	61	Critical Strike	41		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Trinket	Trinket	157	Boon of the Archon	Intellect	Equip				Equip: Your healing spells have a low chance to create 4 Fragments of Life near your location for 10 sec. Allies who collect a Fragment of Life are healed for 333, and grant 47 Versatility to your party for 10 sec.	Dungeon	Heal
Spires of Ascension	Devos, Paragon of Doubt	Mail	Wrist	157	Fallen Paragon's Armguards	Agility/Intellect	Haste	33	Versatility	25		Dungeon	Dps/Tank/Heal
Spires of Ascension	Devos, Paragon of Doubt	Leather	Legs	157	Abyssal Disharmony Breeches	Agility/Intellect	Versatility	60	Haste	42		Dungeon	Dps/Tank/Heal
Castle Nathria	Shriekwing	Leather	Legs	200	Chiropteran Leggings	Agility/Intellect	Critical Strike	52	Mastery	60		Raid	Dps/Tank/Heal
Castle Nathria	Shriekwing	Cloak	Cloak	200	Cowled Batwing Cloak	Agility/Strength/Intellect	Versatility	34	Mastery	28		Raid	Dps/Tank/Heal
Castle Nathria	Shriekwing	Mail	Waist	200	Double-Chained Utility Belt	Agility/Intellect	Versatility	43	Mastery	40		Raid	Dps/Tank/Heal
Castle Nathria	Shriekwing	Plate	Feet	200	Errant Crusader's Greaves	Strength/Intellect	Haste	43	Mastery	40		Raid	Dps/Tank/Heal
Castle Nathria	Shriekwing	Cloth	Feet	200	Slippers of the Forgotten Heretic	Intellect	Critical Strike	49	Mastery	36		Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Neck	Neck	200	Charm of Eternal Winter	NA	Haste	67	Mastery	83		Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Cloth	Wrist	200	Grim Pursuant's Maille	Intellect	Critical Strike	27	Versatility	36		Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Plate	Wrist	200	Hellhound Cuffs	Strength/Intellect	Critical Strike	28	Haste	34		Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Mail	Chest	200	Master Huntsman's Bandolier	Agility/Intellect	Critical Strike	55	Mastery	57		Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Leather	Waist	200	Spell-Woven Tourniquet	Agility/Intellect	Critical Strike	45	Versatility	40		Raid	Dps/Tank/Heal
Castle Nathria	Sun King's Salvation	Mail	Wrist	200	Bangles of Errant Pride	Agility/Intellect	Critical Strike	33	Mastery	30		Raid	Dps/Tank/Heal
Castle Nathria	Sun King's Salvation	Leather	Hands	200	Bleakwing Assassin's Grips	Agility/Intellect	Haste	40	Versatility	45		Raid	Dps/Tank/Heal
Castle Nathria	Sun King's Salvation	Cloth	Chest	200	High Torturer's Smock	Intellect	Critical Strike	63	Mastery	49		Raid	Dps/Tank/Heal
Castle Nathria	Sun King's Salvation	Cloak	Cloak	200	Mantle of Manifest Sins	Agility/Strength/Intellect	Critical Strike	34	Mastery	28		Raid	Dps/Tank/Heal
Castle Nathria	Sun King's Salvation	Plate	Waist	200	Stoic Guardsman's Belt	Strength/Intellect	Haste	43	Mastery	40		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Cloth	Waist	200	Cinch of Infinite Tightness	Intellect	Critical Strike	42	Versatility	42		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Mail	Chest	200	Consumptive Chainmail Carapace	Agility/Intellect	Critical Strike	55	Mastery	57		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Plate	Legs	200	Endlessly Gluttonous Greaves	Strength/Intellect	Critical Strike	49	Mastery	63		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Plate	Shoulders	200	Epaulettes of Overwhelming Force	Strength/Intellect	Critical Strike	45	Haste	40		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Mail	Head	200	Helm of Insatiable Appetite	Agility/Intellect	Haste	67	Mastery	45		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Leather	Chest	200	Miasma-lacquered Jerkin	Agility/Intellect	Haste	55	Versatility	57		Raid	Dps/Tank/Heal
Castle Nathria	Hungering Destroyer	Leather	Legs	200	Volatile Shadestitch Legguards	Agility/Intellect	Haste	51	Mastery	61		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Mail	Hands	200	Castellan's Chainlink Grips	Agility/Intellect	Critical Strike	51	Mastery	34		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Leather	Chest	200	Corset of the Deft Duelist	Agility/Intellect	Critical Strike	51	Haste	60		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Cloth	Legs	200	Courtier's Costume Trousers	Intellect	Critical Strike	55	Mastery	57		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Leather	Feet	200	Enchanted Toe-Tappers	Agility/Intellect	Critical Strike	49	Versatility	34		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Neck	Neck	200	Noble's Birthstone Pendant	NA	Critical Strike	66	Mastery	84		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Cloth	Feet	200	Sparkling Glass Slippers	Intellect	Critical Strike	34	Versatility	51		Raid	Dps/Tank/Heal
Castle Nathria	Council of Blood	Plate	Feet	200	Stoneguard Attendant's Boots	Strength/Intellect	Critical Strike	34	Haste	51		Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Plate	Waist	200	Binding of Warped Desires	Strength/Intellect	Critical Strike	37	Haste	48		Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Cloth	Head	200	Confidant's Favored Cap	Intellect	Haste	48	Mastery	64		Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Leather	Hands	200	Gloves of Phantom Shadows	Agility/Intellect	Critical Strike	36	Mastery	48		Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Mail	Legs	200	Memento-Laden Cuisses	Agility/Intellect	Haste	60	Versatility	52		Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Ring	Finger	200	Ritualist's Treasured Ring	NA	Critical Strike	64	Haste	86		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Plate	Hands	200	Colossal Plate Gauntlets	Strength/Intellect	Haste	51	Versatility	34		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Leather	Waist	200	Heedless Pugilist's Harness	Agility/Intellect	Haste	46	Versatility	39		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Cloth	Hands	200	Impossibly Oversized Mitts	Intellect	Haste	34	Mastery	51		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Cloth	Legs	200	Leggings of Lethal Reverberations	Intellect	Haste	55	Versatility	57		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Mail	Waist	200	Load-Bearing Belt	Agility/Intellect	Haste	49	Versatility	34		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Plate	Chest	200	Rampaging Giant's Chestplate	Strength/Intellect	Critical Strike	49	Haste	63		Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Mail	Feet	200	Stoneclas Stompers	Agility/Intellect	Critical Strike	51	Mastery	34		Raid	Dps/Tank/Heal
Castle Nathria	Stone Legion Generals	Plate	Legs	200	Ceremonial Parade Legguards	Strength/Intellect	Versatility	63	Mastery	49		Raid	Dps/Tank/Heal
Castle Nathria	Stone Legion Generals	Cloak	Cloak	200	Crest of the Legionnaire General	Agility/Strength/Intellect	Haste	36	Versatility	27		Raid	Dps/Tank/Heal
Castle Nathria	Stone Legion Generals	Mail	Hands	200	Oathsworn Soldier's Gauntlets	Agility/Intellect	Critical Strike	42	Haste	42		Raid	Dps/Tank/Heal
Castle Nathria	Stone Legion Generals	Cloth	Chest	200	Robes of the Cursed Commando	Intellect	Critical Strike	48	Haste	64		Raid	Dps/Tank/Heal
Castle Nathria	Stone Legion Generals	Leather	Shoulders	200	Wicked Flanker's Gorget	Agility/Intellect	Critical Strike	39	Versatility	46		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Plate	Head	200	Diadem of Imperious Desire	Strength/Intellect	Haste	46	Mastery	66		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Ring	Finger	200	Most Regal Signet of Sire Denathrius	NA	Haste	87	Mastery	63		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Mail	Shoulders	200	Pauldrons of Fatal Finality	Agility/Intellect	Versatility	34	Mastery	49		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Leather	Head	200	Sadist's Sinister Mask	Agility/Intellect	Haste	63	Mastery	49		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Cloth	Shoulders	200	Shawl of the Penitent	Intellect	Critical Strike	34	Haste	49		Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Castle Nathria	Sire Denathrius												
Sanguine Depths	Executor Tarvold	Conduit	Potency		Debilitating Malady	DeathKnightBlood						Dungeon	Tank
Theater of Pain	Gorechop	Conduit	Potency		Withering Plague	DeathKnightBlood						Dungeon	Tank
Halls of Atonement	High Adjudicator Aleez	Conduit	Endurance		Blood Bond	DeathKnightBlood						Dungeon	Tank
Spires of Ascension	Oryphrion	Conduit	Endurance		Meat Shield	DeathKnightBlood						Dungeon	Tank
Halls of Atonement	Halkias	Conduit	Potency		Accelerated Cold	DeathKnightFrost						Dungeon	Dps
De Other Side	Mueh'zala	Conduit	Potency		Eradicating Blow	DeathKnightFrost						Dungeon	Dps
The Necrotic Wake	Bonefang	Conduit	Potency		Biting Cold	DeathKnightFrost						Dungeon	Dps
The Necrotic Wake	Nalthor the Rimebinder	Conduit	Potency		Unleashed Frenzy	DeathKnightFrost						Dungeon	Dps
Mists of Tirna Scithe	Tred'ova	Conduit	Potency		Convocation of the Dead	DeathKnightUnholy						Dungeon	Dps
Theater of Pain	Kul'tharok	Conduit	Potency		Embrace Death	DeathKnightUnholy						Dungeon	Dps
Plaguefall	Globgrog	Conduit	Potency		Eternal Hunger	DeathKnightUnholy						Dungeon	Dps
Plaguefall	Domina Venomblade	Conduit	Potency		Lingering Plague	DeathKnightUnholy						Dungeon	Dps
World Bosses		Conduit	Potency		Proliferation	DeathKnightShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Impenetrable Gloom	DeathKnightShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Brutal Grasp	DeathKnightShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Withering Ground	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Kael'thas Sunstrider	Conduit	Endurance		Hardened Bones	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	General Kaal	Conduit	Endurance		Insatiable Appetite	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Lady Inerva Darkvein	Conduit	Endurance		Reinforced Shell	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Castellan Niklaus	Conduit	Finesse		Chilled Resilience	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Sire Denathrius	Conduit	Finesse		Fleeting Wind	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Hungering Destroyer	Conduit	Finesse		Spirit Drain	DeathKnightShared						Raid	Dps/Tank
Castle Nathria	Shriekwing	Conduit	Finesse		Unending Grip	DeathKnightShared						Raid	Dps/Tank
Spires of Ascension	Oryphrion	Conduit	Potency		Soul Furnace	DemonHunterVengeance						Dungeon	Tank
Halls of Atonement	Lord Chamberlain	Conduit	Endurance		Demon Muzzle	DemonHunterVengeance						Dungeon	Tank
Sanguine Depths	Executor Tarvold	Conduit	Endurance		Roaring Fire	DemonHunterVengeance						Dungeon	Tank
Theater of Pain	Xav the Unfallen	Conduit	Potency		Dancing with Fate	DemonHunterHavoc						Dungeon	Dps
Plaguefall	Domina Venomblade	Conduit	Potency		Demon's Touch	DemonHunterHavoc						Dungeon	Dps
The Necrotic Wake	Surgeon Stitchflesh	Conduit	Potency		Growing Inferno	DemonHunterHavoc						Dungeon	Dps
Mists of Tirna Scithe	Tred'ova	Conduit	Potency		Serrated Glaive	DemonHunterHavoc						Dungeon	Dps
World Bosses		Conduit	Potency		Repeat Decree	DemonHunterShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Increased Scrutiny	DemonHunterShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Brooding Pool	DemonHunterShared						Raid	Dps/Tank
World Bosses		Conduit	Potency		Unnatural Mailce	DemonHunterShared						Raid	Dps/Tank
Castle Nathria	Kael'thas Sunstrider	Conduit	Endurance		Fel Defender	DemonHunterShared						Raid	Dps/Tank
Castle Nathria	Lady Inerva Darkvein	Conduit	Endurance		Shattered Restoration	DemonHunterShared						Raid	Dps/Tank
Castle Nathria	Sire Denathrius	Conduit	Endurance		Viscous Ink	DemonHunterShared						Raid	Dps/Tank
Castle Nathria	Shriekwing	Conduit	Finesse		Demonic Parole	DemonHunterShared						Raid	Dps/Tank
Castle Nathria	General Kaal	Conduit	Finesse		Felfire Haste	DemonHunterShared						Raid	Dps/Tank
	PVP	Conduit	Finesse		Lost in Darkness	DemonHunterShared						Dungeon	Dps/Tank
Castle Nathria	Castellan Niklaus	Conduit	Finesse		Ravenous Consumption	DemonHunterShared						Raid	Dps/Tank
Plaguefall	Margrave Stradama	Conduit	Potency		Fury of the Skies	DruidBalance						Dungeon	Dps
Halls of Atonement	Lord Chamberlain	Conduit	Potency		Precise Alignment	DruidBalance						Dungeon	Dps
Theater of Pain	Mordretha	Conduit	Potency		Stellar Inspiration	DruidBalance						Dungeon	Dps
De Other Side	Hakkar the Soulflayer	Conduit	Potency		Umbral Intensity	DruidBalance						Dungeon	Dps
Spires of Ascension	Azules	Conduit	Potency		Carnivorous Instinct	DruidFeral						Dungeon	Dps
The Necrotic Wake	Bonefang	Conduit	Potency		Incessant Hunter	DruidFeral						Dungeon	Dps
The Necrotic Wake	Blightbone	Conduit	Potency		Sudden Ambush	DruidFeral						Dungeon	Dps
Sanguine Depths	Kryxis the Voracious	Conduit	Potency		Taste for Blood	DruidFeral						Dungeon	Dps
Mists of Tirna Scithe	Tred'ova	Conduit	Potency		Savage Combatant	DruidGuardian						Dungeon	Tank
Theater of Pain	Dessia the Decapitator	Conduit	Potency		Unchecked Aggression	DruidGuardian						Dungeon	Tank
Halls of Atonement	Echelon	Conduit	Endurance		Layered Mane	DruidGuardian						Dungeon	Tank
Plaguefall	Globgrog	Conduit	Endurance		Well-Honed Instincts	DruidGuardian						Dungeon	Tank
Sanguine Depths	Grand Proctor Beryllia	Conduit	Potency		Flash of Clarity	DruidRestoration						Dungeon	Heal
De Other Side	Mueh'zala	Conduit	Potency		Floral Recycling	DruidRestoration						Dungeon	Heal
Mists of Tirna Scithe	Ingra Maloch	Conduit	Potency		Ready for Anything	DruidRestoration						Dungeon	Heal
Spires of Ascension	Devos	Conduit	Potency		Unstoppable Growth	DruidRestoration						Dungeon	Heal
World Bosses		Conduit	Potency		Deep Allegiance	DruidShared						Raid	Dps/Tank/Heal
World Bosses		Conduit	Potency		Endless Thirst	DruidShared						Raid	Dps/Tank/Heal
World Bosses		Conduit	Potency		Evolved Swarm	DruidShared						Raid	Dps/Tank/Heal
World Bosses		Conduit	Potency		Conflux of Elements	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Lady Inerva Darkvein	Conduit	Endurance		Tough as Bark	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Sire Denathrius	Conduit	Endurance		Ursine Vigor	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Castellan Niklaus	Conduit	Endurance		Innate Resolve	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Artificer Xy'mox	Conduit	Finesse		Born Anew	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	General Kaal	Conduit	Finesse		Front of the Pack	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Huntsman Altimor	Conduit	Finesse		Born of the Wilds	DruidShared						Raid	Dps/Tank/Heal
Castle Nathria	Sludgefist	Conduit	Finesse		Tireless Pursuit	DruidShared						Raid	Dps/Tank/Heal
The Necrotic Wake	Bonefang	Conduit	Potency		Bloodletting	HunterBeastMastery						Dungeon	Dps
Mists of Tirna Scithe	Tred'ova	Conduit	Potency		Echoing Call	HunterBeastMastery						Dungeon	Dps
Spires of Ascension	Azules	Conduit	Potency		Ferocious Appetite	HunterBeastMastery						Dungeon	Dps
De Other Side	Hakkar the Soulflayer	Conduit	Potency		One With the Beast	HunterBeastMastery						Dungeon	Dps
Spires of Ascension	Devos	Conduit	Potency		Brutal Projectiles	HunterMarksmanship						Dungeon	Dps
Theater of Pain	Xav the Unfallen	Conduit	Potency		Deadly Chain	HunterMarksmanship						Dungeon	Dps
Mists of Tirna Scithe	Ingra Maloch	Conduit	Potency		Powerful Precision	HunterMarksmanship						Dungeon	Dps
Theater of Pain	Mordretha	Conduit	Potency		Sharpshooter's Focus	HunterMarksmanship						Dungeon	Dps
Sanguine Depths	Kryxis the Voracious	Conduit	Potency		Deadly Tandem	HunterSurvival						Dungeon	Dps
De Other Side	Dealer Xy'exa	Conduit	Potency		Flame Infusion	HunterSurvival						Dungeon	Dps
Halls of Atonement	Echelon	Conduit	Potency		Stinging Strike	HunterSurvival						Dungeon	Dps
Plaguefall	Domina Venomblade	Conduit	Potency		Strength of the Pack	HunterSurvival						Dungeon	Dps
World Bosses		Conduit	Potency		Enfeebled Mark	HHunterShared						Raid	Dps
World Bosses		Conduit	Potency		Empowered Release	HHunterShared						Raid	Dps
World Bosses		Conduit	Potency		Necrotic Barrage	HHunterShared						Raid	Dps
World Bosses		Conduit	Potency		Spirit Attunement	HHunterShared						Raid	Dps
Castle Nathria	General Kaal	Conduit	Endurance		Harmony of the Tortollan	HHunterShared						Raid	Dps
Castle Nathria	Artificer Xy'mox	Conduit	Endurance		Markman's Advantage	HHunterShared						Raid	Dps
Castle Nathria	Lady Inerva Darkvein	Conduit	Endurance		Rejuvenating Wind	HHunterShared						Raid	Dps
[zone]	[npc]	Conduit	Endurance		Resilience of the Hunter	HHunterShared						Dungeon	Dps
